TipoMov 	Angles[0] 	Angles[1] 	Angles[2] 	Angles[3] 	Angles[4] 	gEUD[0] 	gEUD[1] 	gEUD[2] 	gEUD[3] 	globalScore 	weights[0] 	weights[1] 	weights[2] 	
3146 Seconds 	DDMs loading begins
2 Seconds 	Loading of DDMs is completed and begin the initial BAC is FMO
32 Seconds 	Initial BAC is solved
0 Seconds 	ite_fixed_rMIP_LS begins
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: Starting AMPL Files loading
10 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
133 Seconds 	prepareampl: rMIP fixed solved
143 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
143 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
34 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
